filename,has_hostname,has_enable_secret,has_line_vty,vty_has_login,has_ssh,no_ip_domain_lookup,has_routing_protocol,has_static_routes,ospf_network_configured,eigrp_network_configured,rip_network_configured,bgp_network_configured,has_management_ip,ip_addresses_overlap,label
basic-cisco-router-config.txt,1,0,1,0,1,0,0,1,1,1,1,1,0,0,incomplete_config
Secure_NTP_config.txt,1,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
primarysite_router-2_config.txt,0,1,1,1,1,0,1,1,1,1,1,1,0,0,incomplete_config
start-up.config.txt,0,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
RC_running-config.txt,1,1,1,1,0,0,1,1,1,1,1,1,0,0,ok
variant_ok_SW_config.txt,1,1,1,1,1,0,1,0,1,0,1,1,0,0,incomplete_config
Router2_running-config.txt,1,1,1,1,0,1,1,0,0,1,1,1,0,0,incomplete_config
17112022_config.txt,1,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
router_Rchiheb_config.txt,1,1,1,1,1,0,0,1,1,1,1,1,0,0,ok
variant_missing_noTrunk_config.txt,0,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
Router1_running-config.txt,1,0,1,1,0,0,1,0,1,1,1,1,0,0,incomplete_config
router_Rtest_config.txt,1,1,1,1,1,0,0,1,1,1,1,1,0,0,ok
WOK_VSS_WAN_config.txt,1,1,1,0,0,1,1,1,1,1,1,1,0,0,incomplete_config
variant_missing_access-list_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
JEDDAH-1110141871_config.txt,1,0,0,0,1,0,1,1,1,1,1,0,0,0,incomplete_config
31452_config.txt,1,1,0,0,1,0,0,1,1,1,1,1,0,0,ok
variant_missing_rip_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
running-config.txt,1,1,1,1,0,0,0,1,1,1,1,1,0,0,ok
switch_swchiheb_config.txt,1,0,1,1,0,1,0,0,1,1,1,1,0,0,incomplete_config
primarysite_routerOK_config.txt,0,1,1,1,1,0,1,1,1,1,1,1,0,0,incomplete_config
variant_missing_subintIp_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_ospfNetwork_config.txt,1,1,1,1,1,0,1,0,0,1,1,1,0,0,incomplete_config
variant_missing_networkEigrp_config.txt,1,1,1,1,1,0,1,0,1,0,1,1,0,0,incomplete_config
variant_missing_encapsulation_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
6880-LENO_sh_tech_config.txt,0,1,1,1,1,1,0,1,1,1,1,1,0,0,incomplete_config
cube1-running_config.txt,1,0,1,1,1,0,0,1,1,1,1,1,0,0,incomplete_config
variant_missing_ssh_config.txt,1,1,1,1,0,0,1,0,1,1,1,1,0,0,ok
variant_missing_noShut_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_noDomaine_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_no_hostnameSW_config.txt,0,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
CiscoCatalyst2960Ok_config.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,ok
192.168.52.253_2022-03-17_18_58_05_config.txt,0,0,0,0,0,0,0,0,1,1,1,1,0,0,incomplete_config
variant_missing_ospf_ssh_config.txt,1,1,1,1,0,0,1,0,1,1,1,1,0,0,ok
24351-R1_config copie.txt,1,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
Router_config.txt,1,1,1,1,1,0,0,1,1,1,1,1,0,0,ok
Core-Switch1-IP10-V2_config.txt,0,0,1,1,0,0,0,1,1,1,1,1,0,0,incomplete_config
cisco_9_config.txt,1,1,1,1,0,1,0,0,1,1,1,1,0,0,ok
router_bOK_config.txt,1,1,1,0,1,0,0,1,1,1,1,1,0,0,ok
Cisco2811RouterOK_config.txt,1,1,1,1,0,0,1,1,1,1,1,1,0,0,ok
variant_missing_no_hostname_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_noAccess_config.txt,1,0,1,1,0,0,0,0,1,1,1,1,0,0,incomplete_config
8787-Cisco_4506_config.txt,1,1,1,1,1,0,1,1,1,1,1,1,0,0,ok
variant_missing_ip_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
variant_missing_eigrp_config.txt,1,1,1,1,1,0,1,0,1,1,1,1,0,0,ok
2789-router info_config.txt,1,1,1,1,0,0,0,0,1,1,1,1,0,0,ok
webauth_config.txt,0,1,1,0,0,1,0,1,1,1,1,1,0,0,incomplete_config
